date,Obs,HHMMSS,co2,species,tray,plant,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
18-Apr,1,15:55:16,ambient,M82,4,3,419.0000174,0,11.14544512,0.597892077,406.8671878,1,1,0,0,464.6989746,1859.36438,658.699585,#DIV/0!,0.750076435,0.645739376,-1,0.87,0.92,10.44290352,0.875221452,0.06084213,0.860898098,4.001223333,-1,228.0820313,0.5,64.45198539,4.715155038,0.829620175,20.26562119,2,4.644859791,1,9.289719582,21.8222847,20.26562119,21.56249046,450.6259766,444.000824,13.11095333,15.43412971,50.35188675,59.27391434,399.6580505,228.0820313,0.241192997,100.8071747,0.567043245,0.038304999,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.998290253,0.004715155,293.4156212,294.9722847,36.49312418,-0.618371743,2.385491185,23.66390282,8.229773101,21.04395294,2.502681552,0.561738257,1.55587101,0.946810542,0.354164951,41.01513168,0.91636584,66.67372254,442.3811464,0.01679792,0,199.6222865,1394.665405,0.645739376,#DIV/0!
18-Apr,2,15:59:52,ambient,M82,5,2,704.0000184,0,8.146736845,0.151403582,351.5308172,2,2,0,0,428.7905273,1372.403076,559.246582,#DIV/0!,0.687562251,0.59250559,-1,0.87,0.92,10.27517986,0.87513759,0.044973811,0.861748283,3.200637581,-1,232.3968048,0.5,60.25165041,1.70942716,1.133897138,21.38715363,2,4.644859791,1,9.289719582,21.83799744,21.38715363,21.55995178,450.5902405,446.1305542,13.26289463,14.10649776,50.88670349,54.12342072,399.551178,232.3968048,0.391126186,100.8074646,0.614833772,0.079183295,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.99775589,0.001709427,294.5371536,294.9879974,37.18348794,-0.133036402,2.555937412,25.35464434,11.24814657,21.61257553,2.591454578,0.148975582,1.422040274,1.169414304,0.093324877,35.43693041,0.787955037,55.46956612,444.9466547,0.010156183,0,203.3791797,943.6125488,0.59250559,#DIV/0!
18-Apr,3,16:06:51,ambient,M82,1,3,1117.000018,0,9.465767768,0.215528776,367.5040654,3,3,0,0,456.6689453,1591.047363,600.0760498,#DIV/0!,0.712975895,0.62284212,-1,0.87,0.92,10.27517986,0.87513759,0.051465374,0.873580895,3.484027937,-1,232.3697662,0.5,63.32919077,2.277408657,1.068298907,21.21711922,2,4.644859791,1,9.289719582,21.83184242,21.21711922,21.55955124,451.4327393,446.1851196,13.37111378,14.49473953,51.31954575,55.63212585,399.4921265,232.3697662,0.224902302,100.8042145,0.562251985,0.067631438,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.997460632,0.002277409,294.3671192,294.9818424,37.17916177,-0.226143533,2.529429739,25.09249987,10.59776034,21.52448082,2.577523394,0.210641723,1.461130833,1.116392561,0.132081595,37.04595863,0.823658274,57.88936656,444.809536,0.012319145,0,203.3555172,1134.378418,0.62284212,#DIV/0!
18-Apr,4,16:10:22,ambient,M82,6,1,1336.00002,0,8.481029618,0.173979245,358.8370837,4,4,0,0,460.048584,1534.299927,621.2876587,#DIV/0!,0.700157332,0.595067661,-1,0.87,0.92,10.44290352,0.875221452,0.047449829,0.849905634,3.335082381,-1,228.2984161,0.5,59.45073187,1.899417753,1.098917365,21.30924034,2,4.644859791,1,9.289719582,21.85946846,21.30924034,21.55895805,449.8869934,445.2188416,13.39665031,14.33371162,51.32894897,54.91927338,399.5879517,228.2984161,0.354207307,100.8003845,0.555141389,0.07128115,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.997939758,0.001899418,294.4592403,295.0094685,36.52774577,-0.164830158,2.543761009,25.23562802,10.9019164,21.5843544,2.586984566,0.170780836,1.444843643,1.142140923,0.107020844,36.17091602,0.805979106,56.73776685,443.9863619,0.010838051,0,199.8116712,1074.251343,0.595067661,#DIV/0!
18-Apr,5,16:14:09,ambient,penn,4,4,1551.000019,0,9.533892898,0.442478183,402.5471366,5,5,0,0,402.2595215,1581.080078,595.0790405,#DIV/0!,0.745579287,0.623624983,-1,0.87,0.92,10.44290352,0.875221452,0.052830759,0.836430135,3.930497586,-1,227.8159332,0.5,62.17210309,3.770422831,0.882138831,20.5086956,2,4.644859791,1,9.289719582,21.89107513,20.5086956,21.55857086,450.0494385,444.4369812,13.41352844,15.27248287,51.29293442,58.40152359,399.4545593,227.8159332,0.318344086,100.7972107,0.640010774,0.054177001,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.997272797,0.003770423,293.6586956,295.0410751,36.4505485,-0.459159519,2.421562504,24.02410233,8.75161946,21.19988537,2.526756537,0.422360739,1.539423674,0.987332863,0.265712063,40.57562854,0.905746267,64.53083,443.0514975,0.013886197,0,199.3893918,1178.820557,0.623624983,#DIV/0!
18-Apr,6,16:21:43,ambient,penn,5,3,2010.000016,0,7.570569348,0.181601711,371.2224296,6,6,0,0,289.3376465,1213.169678,422.6374512,#DIV/0!,0.761502738,0.651625441,-1,0.87,0.92,10.27517986,0.87513759,0.042258227,0.855709912,4.192920252,-1,231.751236,0.5,66.07945218,1.934204279,1.072957883,21.14786148,2,4.644859791,1,9.289719582,21.88614655,21.14786148,21.55765533,450.3426819,446.1201782,13.3895483,14.34408379,51.21311569,54.86407852,399.4529114,231.751236,0.564977229,100.7902679,0.505580842,0.080516532,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.997264557,0.001934204,294.2978615,295.0361465,37.08019693,-0.160486982,2.518701931,24.98953502,10.64545124,21.51700401,2.576344045,0.178119707,1.445744048,1.130599997,0.111632503,37.41560815,0.832113067,57.37894178,445.0200085,0.009761162,0,202.8142181,923.8320313,0.651625441,#DIV/0!
18-Apr,7,16:25:32,ambient,penn,6,3,2244.00002,0,10.80914687,0.547868719,405.5931743,7,7,0,0,451.0810547,1843.637329,595.5957642,#DIV/0!,0.755330917,0.676945268,-1,0.87,0.92,10.27517986,0.87513759,0.058057261,0.896223433,4.087153096,-1,232.4264984,0.5,68.84708214,4.03821596,0.771594414,19.81919861,2,4.644859791,1,9.289719582,21.91824913,19.81919861,21.55737877,450.3252258,444.0171814,13.37741566,15.36768818,51.06525421,58.66267014,399.5591431,232.4264984,0.463940978,100.7877045,0.511623323,0.05602999,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.997795715,0.004038216,292.9691986,295.0682491,37.18823891,-0.472416571,2.320468429,23.0233285,7.655640324,20.86872387,2.475867213,0.517357162,1.548874015,0.926993199,0.325957724,40.87880498,0.913462792,67.98563249,442.4463753,0.01660917,0,203.4051657,1392.556274,0.676945268,#DIV/0!
18-Apr,8,16:30:18,ambient,penn,1,2,2530.00002,0,11.29055792,0.319444707,379.4575873,8,8,0,0,438.3200684,1788.953735,558.5236816,#DIV/0!,0.754985241,0.68779311,-1,0.87,0.92,10.44290352,0.875221452,0.061431934,0.911002061,4.081386787,-1,228.5911713,0.5,68.80266049,3.236089656,1.034892886,21.30125046,2,4.644859791,1,9.289719582,21.93141556,21.30125046,21.55618095,450.9201355,444.5481873,13.36288166,14.95856857,50.96821594,57.05443192,399.537323,228.5911713,0.445454895,100.7865372,0.6754722,0.065443709,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.997686615,0.00323609,294.4512505,295.0814156,36.57458658,-0.397130674,2.542515214,25.2267345,10.26816592,21.61633301,2.592050244,0.308825165,1.507622327,1.084427916,0.193942539,38.24421622,0.853580327,59.842764,442.9074216,0.015255066,0,200.0678968,1350.633667,0.68779311,#DIV/0!
18-Apr,9,16:35:32,elevated,M82,6,4,2832.000018,0,10.98903299,0.087269335,542.439335,9,9,0,0,468.0534668,1729.230225,642.9832153,#DIV/0!,0.729328426,0.628167952,-1,0.87,0.92,10.44290352,0.875221452,0.059888027,0.861296406,3.694514297,-1,228.7316132,0.5,62.87672702,1.090435292,1.245576349,21.95311737,2,4.644859791,1,9.289719582,21.90509987,21.95311737,21.55788994,764.5592041,758.6436768,13.35670662,13.89502048,51.02370071,53.08010101,399.5006409,228.7316132,0.418306082,100.7809219,0.275813997,0.094484046,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.997503204,0.001090435,295.1031174,295.0550999,36.59705729,-0.048125711,2.645929324,26.2542679,12.35924742,21.92910862,2.64205619,0.086457141,1.400352975,1.241703215,0.054108101,54.66753628,0.715012003,52.40752171,757.0467293,0.007607298,0,200.1908145,1261.176758,0.628167952,#DIV/0!
18-Apr,10,16:41:39,elevated,M82,1,2,3186.000018,0,11.24201489,0.137243789,612.6084728,10,10,0,0,469.0095215,1807.824585,675.6396484,#DIV/0!,0.740566908,0.626269244,-1,0.87,0.92,10.44290352,0.875221452,0.061176646,0.845661935,3.854558388,-1,228.6384583,0.5,62.66114483,1.630050142,1.190226688,21.75978279,2,4.644859791,1,9.289719582,21.87595177,21.75978279,21.5574894,764.7661133,758.5195313,13.33278179,14.13723278,51.01909256,54.09740067,399.5285645,228.6384583,0.518257856,100.773201,0.202022493,0.087646201,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.997642822,0.00163005,294.9097828,295.0259518,36.5821525,-0.136183151,2.614880889,25.94817733,11.81094454,21.81786728,2.624175234,0.135245706,1.4246542,1.199521034,0.084705839,61.73451676,0.807637045,54.22783993,756.8858199,0.008054454,0,200.1092834,1338.815063,0.626269244,#DIV/0!
